text_EN,text,modified,notes
Pontius Pilate,ポンテオ・ピラト,ポンティウス゠ピラトゥス,
Wenceslaus IV,ベンツェスラウス4世,ヴァーツラフIV世,
Karl IV,カール4世,カレルI世,Karel I
Karel Parléř,カレル・パーラー,カレル゠パルレーシュ,
Albrecht,アルブレクト,アルブレヒト,
John Wycliffe,ジョン・ウィクリフ,ジョン゠ウィクリフ,
Aldabert,アルダバート,アルダベルト,
Johan of Luxemburg,ルクセンブルクのヨハン,ルクセンブルクのヤン,Jan Lucenbursky
Sigismund,シギスムント,ジクムント,Zykmund
William Tell,ウィリアム・テル,ヴィルヘルム゠テル,Wilhelm Tell
Wilhem,ウィルヘルム,ヴィルヘルム,Wilhem
Racek Kobyla of Dvojitz,ヴォイエツのラジク・コビラ,ドヴォルツェのラツェク゠コビラ,Racek Kobyla z Dovorce
,ラツェック（本作ではラツェク）・コビラ,ラツェク゠コビラ,
Hans Capon,ハンスカポン,ヤン゠プターチェク,Jan Ptacek
Konrad Kyeser,コンラッド・カイザー,コンラート゠キーザー,Konrad Kyeser
,ジョン・ヘンリー（ヨハン・ハインリッヒ）,ヨハン゠ハインリヒ,
,カポン,プターチェク,
Heinrich of Rosenberg ,ローゼンバーグのハインリッヒ,ロジュムベルクのハインリヒ,
Heinrich III von Rosenberg ,ローゼンバーグのハインリッヒ3世 ,ロジュムベルクのハインリヒIII世,
Kyeser,カイザー,キーザー,
,ブルガウ公オットー3世,ベルゴフのオタIII世,
,ベルゴーのオットー4世,ベルゴフのオタIV世,
,ペトル・ワルドー（ピエール・ヴァルデス、ワルデス、ヴォーデス、ドヴォーとも言われる）,ペトル゠ワルドー(ピエール゠ヴァルデス、ワルデス、ヴォーデス、ドヴォーなどとも呼ばれる),
Otto III,オットー3世,オタIII世,
Otto IV,オットー4世,オタIV世,
,オットー・ヴァン・ベルゴフ,ベルゴフのオタ,
,ベルゴフのオットー卿,ベルゴフのオタ,
,オットー・ヴォン・ベルゴフ卿,ベルゴフのオタ,
Jobst,ヨブスト,ヨシュト,
Jan Kalvin,ジャン・カルヴァン,ジャン゠カルヴァン,
Jan Hus,ヤン・フス,ヤン゠フス,Jan Hus
,マルカス・グライコス（ギリシャ人のマルカスの意）,マルクス゠グラエクス,
,イブン・スィーナー,イブン゠スィーナー,
,ヤン・インジフ（ヨハン・ハインリッヒ）,ヤン゠インジフ (ヨハン゠ハインリヒ),
,ルクセンブルクのプロコピウス（プロコプ）,ルクセンブルクのプロコプ,
,ヴラド・ツェペシュ,ヴラド゠ツェペシュ,
Petr Parler,ペトル・パルレー,ペトル゠パルレーシュ,Petr Parléř
Markvart von Aulitz,マークヴァート・フォン・オーリッツ,マルクヴァルト゠フォン゠アウリッツ,Markvart von Aulitz
Rupert of the Pfalz,プファルツのルパート,プファルツのループレヒト,Rupert of the Pfalz
Razyk Kobyla,ラジク・コビラ,ラツェク゠コビラ,Racek Kobyla
Henry of Iron,ヘンリー・オブ・アイアン（インジヒ・ジェレズニー）,インジフ゠ジェレズニー(『鉄のインジフ』の意味),
